Annote   Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input  
 day      index1D  index2D  line     streng   utilD    transpD  BD100D   price1D  price2d  BDavg2   ind1-1   ind1-4   ind2-4   line-4   stren-4  util-4   tran-4   BD-4     pric1-4  pric2-4  BDavg-4  
     186     7.62    -3.18    50.03     72.5    -9.12     0.41        9     0.18    -0.62     34.5     7.17     0.33    -7.17    63.26       57     5.99     0.62     -117    -0.11     -0.1    -58.5
